Station,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits
PL,5565,9507,3875,3630,9611,4137,8101,9620,9874,6322,9081,4647,6752,6131,2928,2330,2875,2719,4961,5119,5012,2690,2214,5045,13760,5151,1441,2779,3419,14450,18132,11875,21958,15636,5229,2589,6765,1292,5744,4330,4022,20264,5170,2306,1191,1225,2132,2111,1260,3925,310902
CC,3785,6635,3669,4521,6700,4898,8144,9586,8074,5554,8356,3833,5347,3992,2448,2018,2158,2225,3818,3894,3869,2137,1937,5307,10944,4860,3438,3324,2120,6944,11117,8026,12135,10956,4451,2373,4991,1265,3155,3904,3980,7270,4865,1828,614,1023,1489,1607,782,3773,234139
16,2709,3181,1325,2044,3961,2481,4893,5939,4385,2998,4192,1520,2009,1607,1021,725,943,772,1331,1504,1452,788,697,2440,5783,11773,11591,16219,8270,683,3018,5428,8067,7097,2662,865,1603,442,1716,2063,2179,5271,3128,664,375,496,440,736,322,1439,157247
24,2901,2709,1041,1267,3630,1548,3340,3868,3396,2205,3346,1542,1454,1120,587,728,353,390,1220,895,786,581,323,1518,3694,16265,15893,21562,12614,2920,635,4701,6030,5916,2555,466,999,371,1523,1697,1995,3530,2554,367,302,297,335,404,232,1003,149608
GP,717,947,425,486,2031,482,1018,1788,1640,758,991,539,484,549,281,117,218,203,486,464,404,221,244,827,1103,11133,11505,12694,7855,5352,4715,425,1457,1468,1069,178,570,91,443,704,974,2481,1435,213,234,140,141,167,105,550,83522
BP,930,1206,362,383,1268,520,1050,1281,1860,865,1323,830,1010,577,382,254,225,228,550,450,465,273,217,733,1388,11113,11802,24919,11359,6949,6117,1411,462,1800,1447,245,662,166,508,1206,1568,1933,1801,238,105,190,210,278,174,566,105859
DC,1710,2757,769,498,1604,616,1099,1799,1918,1061,2348,1368,1578,973,903,509,789,557,1148,920,683,214,404,574,1039,13286,14621,18244,11642,7410,6347,1600,2152,633,733,511,1289,327,976,1706,2297,4135,4119,480,200,232,445,486,373,1101,123183
CM,241,286,102,127,506,90,218,462,639,126,174,120,110,77,132,38,55,65,199,120,190,44,35,111,166,5145,4982,6466,4446,2447,2499,990,1474,566,242,51,127,47,181,326,776,1545,1322,11,23,24,26,24,82,346,38601
CV,117,127,82,47,529,85,189,473,387,1596,1044,617,798,790,305,319,243,323,84,47,77,27,30,75,185,5522,4022,3045,2566,884,469,172,302,584,34,197,2095,8,39,60,48,363,53,1390,114,181,131,157,8,24,31064
ED,219,305,159,128,1482,227,647,1382,1799,2214,2408,1592,2276,1862,1058,639,885,825,184,84,110,14,12,87,429,16737,10842,7575,5366,1748,960,588,643,1263,111,2103,692,17,70,150,155,2354,242,611,1093,340,641,821,17,60,76226
NC,62,56,45,41,235,41,357,463,585,110,119,124,104,28,42,68,16,36,690,297,485,97,63,181,52,1944,1548,1420,1446,462,444,107,190,338,38,11,34,148,675,98,86,671,48,7,154,43,22,49,417,411,15208
WP,174,269,130,121,787,237,1528,1112,1780,237,337,330,267,128,367,82,101,137,3554,1135,2195,527,265,791,258,5151,4729,6892,4514,1853,1504,587,649,1021,195,37,102,576,408,157,255,1752,165,23,337,130,95,132,239,447,48799
SS,204,448,91,84,476,107,256,561,838,143,207,204,212,244,110,74,75,21,238,176,263,53,44,199,280,4594,4661,4954,3960,1983,1798,744,1445,1761,349,63,124,94,203,291,505,979,807,27,37,48,33,31,30,264,35393
SB,336,462,193,77,501,174,294,593,783,239,266,250,154,187,185,70,39,69,286,266,291,145,62,166,479,4175,4387,5045,4338,2301,2083,1067,1726,2520,761,63,167,106,261,547,266,2170,472,63,58,15,31,40,99,318,39646
SO,1264,1726,1286,1724,3156,1216,2023,1758,2279,430,844,426,522,312,192,108,294,393,1692,2421,2999,1812,1380,2353,2221,6108,5551,18306,5977,4161,2588,1800,1676,3484,1188,225,1928,550,1530,724,1269,2342,6494,541,257,222,205,119,170,1393,103639
MB,408,691,260,347,1695,338,532,848,807,171,178,268,70,140,79,48,65,27,232,160,194,82,47,152,358,5961,5361,5243,4275,2854,2225,1218,1823,3751,1108,40,189,39,170,656,385,8456,988,49,65,9,15,8,79,188,53352
WD,109,234,77,56,493,73,299,607,538,1119,1012,559,1066,1079,696,467,425,377,58,45,34,18,41,61,181,6863,4191,2380,2246,702,382,270,265,483,18,1411,613,17,31,27,42,713,48,250,465,159,359,417,36,37,32149
OA,149,553,360,483,1309,342,387,450,569,373,184,296,128,97,194,109,169,255,368,470,495,221,143,182,136,1501,1054,1286,743,339,269,202,101,189,21,89,813,119,249,25,44,353,48,337,238,120,180,136,51,285,17214
WS,319,516,156,184,798,240,576,940,704,1111,1217,892,1254,1037,1596,1455,1633,1816,110,113,48,49,17,106,227,2504,1912,1214,1151,553,288,164,249,267,32,186,366,38,139,35,25,275,18,120,130,193,1869,1975,11,140,30968
ML,265,322,188,249,1777,308,561,915,747,667,700,693,871,687,1668,728,1618,2261,168,174,134,40,66,151,126,3959,2976,2716,1716,465,355,140,229,472,26,113,625,24,98,33,44,330,18,325,207,1933,514,733,30,173,34338
BE,314,601,257,301,3030,528,775,1235,1032,866,1060,1008,1266,1003,1869,1250,2009,2610,251,211,155,76,83,158,216,4024,2863,2423,1904,713,455,225,329,517,16,163,861,37,130,35,18,262,10,406,229,2364,613,508,36,134,41439
PC,113,62,33,56,229,77,466,444,378,116,140,194,56,74,132,36,50,53,1651,513,938,144,156,309,196,659,742,1200,732,405,290,114,179,335,70,7,20,291,247,55,76,171,53,24,85,13,23,40,53,574,13074
AN,293,258,66,75,694,132,1682,1342,1923,431,386,603,354,167,419,133,123,201,2349,1024,1516,369,210,688,310,5218,4360,4324,4144,1549,1062,629,679,1133,364,31,80,392,641,313,277,1646,252,28,410,158,161,174,624,387,44784
Entries,64655,95874,54755,49123,147018,55858,102071,126539,128419,76225,106012,60912,83332,66167,59749,37401,46553,53322,63639,60949,69320,40227,32123,62713,95866,380195,310956,344855,252984,155366,150829,85770,114043,120727,38519,30971,76810,15273,46975,34606,36551,123806,55975,31262,20696,32647,34483,40166,14376,44364,4432027
